Player_Name,Nationality,Primary_Role,Price_Category,Base_Price_PKR_Cr,Final_Price_PKR_Cr,Final_Price_USD_Approx,Franchise,Acquisition_Type,Auction_Round,Status
Steve Smith,Australia,Batter,Platinum,5.5,14.0,50260000.0,Sialkot Stallionz,Direct Signing,Pre-Auction,Signed
Babar Azam,Pakistan,Batter,Platinum,,,,Karachi Kings,Retention,Pre-Auction,Retained
Shadab Khan,Pakistan,All-Rounder,Platinum,,,,Islamabad United,Retention,Pre-Auction,Retained
Shaheen Afridi,Pakistan,Bowler,Platinum,,,,Lahore Qalandars,Retention,Pre-Auction,Retained
Fakhar Zaman,Pakistan,Batter,Diamond,,,,Lahore Qalandars,Retention,Pre-Auction,Retained
Saud Shakeel,Pakistan,Batter,Diamond,,,,Quetta Gladiators,Retention,Pre-Auction,Retained
Imam-ul-Haq,Pakistan,Batter,Diamond,,,,Peshawar Zalmi,Retention,Pre-Auction,Retained
Khushdil Shah,Pakistan,All-Rounder,Gold,,,,Peshawar Zalmi,Retention,Pre-Auction,Retained
Mohammad Rizwan,Pakistan,Wicketkeeper,Platinum,,,,Karachi Kings,Retention,Pre-Auction,Retained
Faheem Ashraf,Pakistan,All-Rounder,Platinum,4.2,8.5,30515000.0,Islamabad United,Auction,Round 1,Sold
Naseem Shah,Pakistan,Bowler,Platinum,4.2,8.65,31053500.0,Rawalpindi,Auction,Round 1,Sold
Daryl Mitchell,New Zealand,All-Rounder,Platinum,4.2,8.05,28899500.0,Rawalpindi,Auction,Round 1,Sold
Mark Chapman,New Zealand,Batter,Platinum,4.2,7.0,25130000.0,Islamabad United,Auction,Round 1,Sold
Salman Ali Agha,Pakistan,All-Rounder,Platinum,4.2,5.85,21001500.0,Karachi Kings,Auction,Round 1,Sold
Khawaja Mohammad Nafay,Pakistan,Batter,Gold,1.1,6.5,23335000.0,Quetta Gladiators,Auction,Round 1,Sold
Rilee Rossouw,South Africa,Batter,Platinum,4.2,5.55,19924500.0,Quetta Gladiators,Auction,Round 1,Sold
Kusal Mendis,Sri Lanka,Wicketkeeper,Platinum,4.2,5.2,18668000.0,Peshawar Zalmi,Auction,Round 1,Sold
Michael Bracewell,New Zealand,All-Rounder,Platinum,4.2,4.2,15078000.0,Peshawar Zalmi,Auction,Round 1,Sold
Adam Zampa,Australia,Bowler,Platinum,4.2,4.5,16155000.0,Karachi Kings,Auction,Round 1,Sold
Mohammad Wasim Jr,Pakistan,Bowler,Diamond,2.2,4.1,14719000.0,Islamabad United,Auction,Round 2,Sold
Mohammad Amir,Pakistan,Bowler,Diamond,2.2,5.4,19386000.0,Rawalpindi,Auction,Round 2,Sold
Imad Wasim,Pakistan,All-Rounder,Diamond,2.2,2.2,7898000.0,Islamabad United,Auction,Round 2,Sold
Asif Afridi,Pakistan,Bowler,Diamond,2.2,2.4,8616000.0,Rawalpindi,Auction,Round 2,Sold
Josh Philippe,Australia,Wicketkeeper,Diamond,2.2,2.3,8257000.0,Sialkot Stallionz,Auction,Round 2,Sold
Shan Masood,Pakistan,Batter,Diamond,2.2,2.8,10052000.0,Sialkot Stallionz,Auction,Round 2,Sold
James Vince,England,Batter,Diamond,2.2,2.2,7898000.0,Peshawar Zalmi,Auction,Round 2,Sold
Dasun Shanaka,Sri Lanka,All-Rounder,Diamond,2.2,2.2,7898000.0,Lahore Qalandars,Auction,Round 2,Sold
Peter Siddle,Australia,Bowler,Diamond,2.2,2.5,8975000.0,Sialkot Stallionz,Auction,Round 2,Sold
Sameer Minhas,Pakistan,Batter,Gold,1.1,1.9,6821000.0,Islamabad United,Auction,Round 3,Sold
Haider Ali,Pakistan,Batter,Gold,1.1,1.5,5385000.0,Islamabad United,Auction,Round 3,Sold
Mehran Mumtaz,Pakistan,All-Rounder,Gold,1.1,1.2,4308000.0,Islamabad United,Auction,Round 3,Sold
Shamar Joseph,West Indies,Bowler,Gold,1.1,1.1,3949000.0,Islamabad United,Auction,Round 3,Sold
Dipendra Singh Airee,Nepal,All-Rounder,Emerging,0.6,0.6,2154000.0,Islamabad United,Auction,Round 3,Sold
Ihsanullah,Pakistan,Bowler,Gold,1.1,2.4,8616000.0,Karachi Kings,Auction,Round 3,Sold
Tom Curran,England,All-Rounder,Gold,1.1,4.2,15078000.0,Quetta Gladiators,Auction,Round 3,Sold
Nahid Rana,Bangladesh,Bowler,Gold,1.1,1.1,3949000.0,Peshawar Zalmi,Auction,Round 3,Sold
Iftikhar Ahmed,Pakistan,All-Rounder,Gold,1.1,1.1,3949000.0,Peshawar Zalmi,Auction,Round 3,Sold
Gudakesh Motie,West Indies,Bowler,Gold,1.1,1.1,3949000.0,Lahore Qalandars,Auction,Round 3,Sold
